filename,left,right
20170515.1727702684-1062-1_14,1,1
20170515.1727702684-1062-1_15,1,1
20170515.1727702684-1062-1_16,1,1
20170515.1727702684-1062-1_2,1,1
20170515.1727702684-1062-1_3,1,1
20170515.1727702684-1062-1_4,1,1
20170515.1727702684-1062-1_5,1,1
20170515.1727702684-1062-1_6,1,1
20170515.1727702684-1062-1_7,1,1
20170515.1727702684-1062-1_8,1,1
20170515.1727702684-1062-1_9,1,1
20170515.1727702684-1063-1_1,1,1
20170515.1727702684-1063-1_10,1,1
20170515.1727702684-1063-1_11,1,1
20170515.1727702684-1063-1_12,1,1
20170515.1727702684-1063-1_13,1,1
20170515.1727702684-1063-1_14,1,1
20170515.1727702684-1063-1_15,1,1
20170515.1727702684-1063-1_16,1,1
20170515.1727702684-1063-1_2,1,1
20170515.1727702684-1063-1_3,1,1
20170515.1727702684-1063-1_4,1,1
20170515.1727702684-1063-1_5,1,1
20170515.1727702684-1063-1_6,1,1
20170515.1727702684-1063-1_7,1,1
20170515.1727702684-1063-1_8,1,1
20170515.1727702684-1063-1_9,1,1
20170515.1727702684-1068-1_1,1,1
20170515.1727702684-1068-1_10,1,1
20170515.1727702684-1068-1_11,1,1
20170515.1727702684-1068-1_12,1,1
20170515.1727702684-1068-1_13,1,1
20170515.1727702684-1068-1_14,1,1
20170515.1727702684-1068-1_15,1,1
20170515.1727702684-1068-1_16,1,1
20170515.1727702684-1068-1_2,1,1
20170515.1727702684-1068-1_3,1,1
20170515.1727702684-1068-1_4,1,1
20170515.1727702684-1068-1_5,1,1
20170515.1727702684-1068-1_6,1,1
20170515.1727702684-1068-1_7,1,1
20170515.1727702684-1068-1_8,1,1
20170515.1727702684-1068-1_9,1,1
20170515.1727702684-1070-1_1,1,1
20170515.1727702684-1070-1_10,1,1
20170515.1727702684-1070-1_11,1,1
20170515.1727702684-1070-1_12,1,1
20170515.1727702684-1070-1_13,1,1
20170515.1727702684-1070-1_14,1,1
20170515.1727702684-1070-1_15,1,1
20170515.1727702684-1070-1_16,1,1
20170515.1727702684-1070-1_2,1,1
20170515.1727702684-1070-1_3,1,1
20170515.1727702684-1070-1_4,1,1
20170515.1727702684-1070-1_5,1,1
20170515.1727702684-1070-1_6,1,1
20170515.1727702684-1070-1_7,1,1
20170515.1727702684-1070-1_8,1,1
20170515.1727702684-1070-1_9,1,1
20170516.1727702684-1081-1_1,1,1
20170516.1727702684-1081-1_10,0,0
20170516.1727702684-1081-1_11,0,0
20170516.1727702684-1081-1_12,0,0
20170516.1727702684-1081-1_13,2,0
20170516.1727702684-1081-1_14,2,0
20170516.1727702684-1081-1_15,2,0
20170516.1727702684-1081-1_16,2,0
20170516.1727702684-1081-1_2,1,1
20170516.1727702684-1081-1_3,1,1
20170516.1727702684-1081-1_4,0,0
20170516.1727702684-1081-1_5,0,0
20170516.1727702684-1081-1_6,1,1
20170516.1727702684-1081-1_7,2,2
20170516.1727702684-1081-1_8,0,0
20170516.1727702684-1081-1_9,0,3
20170518.1727702684-1102-1_1,2,2
20170518.1727702684-1102-1_10,3,3
20170518.1727702684-1102-1_11,3,3
20170518.1727702684-1102-1_12,3,0
20170518.1727702684-1102-1_13,0,0
20170518.1727702684-1102-1_14,2,2
20170518.1727702684-1102-1_15,2,2
20170518.1727702684-1102-1_16,2,2
20170518.1727702684-1102-1_2,2,0
20170518.1727702684-1102-1_3,2,0
20170518.1727702684-1102-1_4,0,3
20170518.1727702684-1102-1_5,2,0
20170518.1727702684-1102-1_6,2,3
20170518.1727702684-1102-1_7,3,3
20170518.1727702684-1102-1_8,3,3
20170518.1727702684-1102-1_9,3,3
20170518.1727702684-1104-1_1,2,2
20170518.1727702684-1104-1_10,2,3
20170518.1727702684-1104-1_11,0,3
20170518.1727702684-1104-1_12,0,0
20170518.1727702684-1104-1_13,0,0
20170518.1727702684-1104-1_14,2,2
20170518.1727702684-1104-1_15,2,2
20170518.1727702684-1104-1_16,2,2
20170518.1727702684-1104-1_2,2,2
20170518.1727702684-1104-1_3,2,2
20170518.1727702684-1104-1_4,2,2
20170518.1727702684-1104-1_5,2,2
20170518.1727702684-1104-1_6,0,2
20170518.1727702684-1104-1_7,0,0
20170518.1727702684-1104-1_8,3,3
20170518.1727702684-1104-1_9,0,0
20170522.1727702684-1139-1_1,1,1
20170522.1727702684-1139-1_10,1,1
20170522.1727702684-1139-1_11,1,1
20170522.1727702684-1139-1_12,1,1
20170522.1727702684-1139-1_13,1,1
20170522.1727702684-1139-1_14,1,1
20170522.1727702684-1139-1_15,1,1
20170522.1727702684-1139-1_16,1,1
20170522.1727702684-1139-1_2,1,1
20170522.1727702684-1139-1_3,1,1
20170522.1727702684-1139-1_4,1,1
20170522.1727702684-1139-1_5,1,1
20170522.1727702684-1139-1_6,1,1
20170522.1727702684-1139-1_7,1,1
20170522.1727702684-1139-1_8,1,1
20170522.1727702684-1139-1_9,1,1
20170522.1727702684-1141-1_1,1,1
20170522.1727702684-1141-1_10,1,1
20170522.1727702684-1141-1_11,1,1
20170522.1727702684-1141-1_12,1,1
20170522.1727702684-1141-1_13,1,1
20170522.1727702684-1141-1_14,1,1
20170522.1727702684-1141-1_15,1,1
20170522.1727702684-1141-1_16,1,1
20170522.1727702684-1141-1_2,1,1
20170522.1727702684-1141-1_3,1,1
20170522.1727702684-1141-1_4,1,1
20170522.1727702684-1141-1_5,1,1
20170522.1727702684-1141-1_6,1,1
20170522.1727702684-1141-1_7,1,1
20170522.1727702684-1141-1_8,1,1
20170522.1727702684-1141-1_9,1,1
20170522.1727702684-1144-1_1,1,1
20170522.1727702684-1144-1_10,1,1
20170522.1727702684-1144-1_11,1,1
20170522.1727702684-1144-1_12,1,1
20170522.1727702684-1144-1_13,0,1
20170522.1727702684-1144-1_14,1,1
20170522.1727702684-1144-1_15,1,1
20170522.1727702684-1144-1_16,1,1
20170522.1727702684-1144-1_2,1,1
20170522.1727702684-1144-1_3,1,1
20170522.1727702684-1144-1_4,1,1
20170522.1727702684-1144-1_5,1,1
20170522.1727702684-1144-1_6,1,0
20170522.1727702684-1144-1_7,1,1
20170522.1727702684-1144-1_8,1,0
20170522.1727702684-1144-1_9,1,1
20170522.1727702684-1145-1_1,2,2
20170522.1727702684-1145-1_10,2,2
20170522.1727702684-1145-1_11,2,2
20170522.1727702684-1145-1_12,2,2
20170522.1727702684-1145-1_13,2,2
20170522.1727702684-1145-1_14,2,2
20170522.1727702684-1145-1_15,2,2
20170522.1727702684-1145-1_16,2,2
20170522.1727702684-1145-1_2,2,2
20170522.1727702684-1145-1_3,2,2
20170522.1727702684-1145-1_4,2,2
20170522.1727702684-1145-1_5,2,2
20170522.1727702684-1145-1_6,2,2
20170522.1727702684-1145-1_7,2,2
20170522.1727702684-1145-1_8,2,2
20170522.1727702684-1145-1_9,2,2
20170523.1727702684-1152-1_1,2,2
20170523.1727702684-1152-1_10,0,2
20170523.1727702684-1152-1_11,2,0
20170523.1727702684-1152-1_12,2,2
20170523.1727702684-1152-1_13,2,2
20170523.1727702684-1152-1_14,2,2
20170523.1727702684-1152-1_15,2,2
20170523.1727702684-1152-1_16,2,2
20170523.1727702684-1152-1_2,2,2
20170523.1727702684-1152-1_3,2,2
20170523.1727702684-1152-1_4,2,2
20170523.1727702684-1152-1_5,2,2
20170523.1727702684-1152-1_6,2,2
20170523.1727702684-1152-1_7,0,2
20170523.1727702684-1152-1_8,2,2
20170523.1727702684-1152-1_9,2,0
20170523.1727702684-1154-1_1,1,0
20170523.1727702684-1154-1_10,0,0
20170523.1727702684-1154-1_11,2,0
20170523.1727702684-1154-1_12,0,0
20170523.1727702684-1154-1_13,1,1
20170523.1727702684-1154-1_14,0,1
20170523.1727702684-1154-1_15,0,1
20170523.1727702684-1154-1_16,1,1
20170523.1727702684-1154-1_2,1,0
20170523.1727702684-1154-1_3,1,2
20170523.1727702684-1154-1_4,1,1
20170523.1727702684-1154-1_5,0,0
20170523.1727702684-1154-1_6,2,2
20170523.1727702684-1154-1_7,2,2
20170523.1727702684-1154-1_8,2,2
20170523.1727702684-1154-1_9,2,0
20170601.1727702684-1212-1_1,2,2
20170601.1727702684-1212-1_10,0,0
20170601.1727702684-1212-1_11,0,0
20170601.1727702684-1212-1_12,0,0
20170601.1727702684-1212-1_13,0,0
20170601.1727702684-1212-1_14,0,0
20170601.1727702684-1212-1_15,2,0
20170601.1727702684-1212-1_16,2,2
20170601.1727702684-1212-1_2,2,2
20170601.1727702684-1212-1_3,2,2
20170601.1727702684-1212-1_4,2,2
20170601.1727702684-1212-1_5,2,2
20170601.1727702684-1212-1_6,2,2
20170601.1727702684-1212-1_7,2,2
20170601.1727702684-1212-1_8,2,2
20170601.1727702684-1212-1_9,0,3
20170601.1727702684-1215-1_1,2,2
20170601.1727702684-1215-1_10,0,0
20170601.1727702684-1215-1_11,0,0
20170601.1727702684-1215-1_12,0,0
20170601.1727702684-1215-1_13,0,0
20170601.1727702684-1215-1_14,2,2
20170601.1727702684-1215-1_15,3,3
20170601.1727702684-1215-1_16,2,2
20170601.1727702684-1215-1_2,2,2
20170601.1727702684-1215-1_3,2,2
20170601.1727702684-1215-1_4,2,2
20170601.1727702684-1215-1_5,2,2
20170601.1727702684-1215-1_6,2,0
20170601.1727702684-1215-1_7,0,0
20170601.1727702684-1215-1_8,0,0
20170601.1727702684-1215-1_9,0,0
20170605.1727702684-1263-1_1,1,1
20170605.1727702684-1263-1_10,1,1
20170605.1727702684-1263-1_11,1,1
20170605.1727702684-1263-1_12,1,1
20170605.1727702684-1263-1_13,1,1
20170605.1727702684-1263-1_14,1,1
20170605.1727702684-1263-1_15,1,1
20170605.1727702684-1263-1_16,1,1
20170605.1727702684-1263-1_2,1,1
20170605.1727702684-1263-1_3,1,1
20170605.1727702684-1263-1_4,1,1
20170605.1727702684-1263-1_5,1,1
20170605.1727702684-1263-1_6,1,1
20170605.1727702684-1263-1_7,1,1
20170605.1727702684-1263-1_8,1,1
20170605.1727702684-1263-1_9,1,1
20170605.1727702684-1274-1_1,2,2
20170605.1727702684-1274-1_10,2,2
20170605.1727702684-1274-1_11,2,2
20170605.1727702684-1274-1_12,2,2
20170605.1727702684-1274-1_13,2,2
20170605.1727702684-1274-1_14,2,2
20170605.1727702684-1274-1_15,2,2
20170605.1727702684-1274-1_16,2,2
20170605.1727702684-1274-1_2,2,2
20170605.1727702684-1274-1_3,2,2
20170605.1727702684-1274-1_4,2,2
20170605.1727702684-1274-1_5,2,0
20170605.1727702684-1274-1_6,2,2
20170605.1727702684-1274-1_7,2,2
20170605.1727702684-1274-1_8,2,2
20170605.1727702684-1274-1_9,2,2
20170605.1727702684-1276-1_1,2,2
20170605.1727702684-1276-1_10,2,0
20170605.1727702684-1276-1_11,2,0
20170605.1727702684-1276-1_12,2,0
20170605.1727702684-1276-1_13,2,2
20170605.1727702684-1276-1_14,2,2
20170605.1727702684-1276-1_15,2,2
20170605.1727702684-1276-1_16,2,2
20170605.1727702684-1276-1_2,2,2
20170605.1727702684-1276-1_3,2,2
20170605.1727702684-1276-1_4,2,2
20170605.1727702684-1276-1_5,2,2
20170605.1727702684-1276-1_6,2,2
20170605.1727702684-1276-1_7,2,2
20170605.1727702684-1276-1_8,2,2
20170605.1727702684-1276-1_9,2,2
20170606.1727702684-1300-1_1,1,1
20170606.1727702684-1300-1_10,1,1
20170606.1727702684-1300-1_11,1,1
20170606.1727702684-1300-1_12,1,1
20170606.1727702684-1300-1_13,1,1
20170606.1727702684-1300-1_14,1,1
20170606.1727702684-1300-1_15,1,1
20170606.1727702684-1300-1_16,1,1
20170606.1727702684-1300-1_2,1,1
20170606.1727702684-1300-1_3,1,1
20170606.1727702684-1300-1_4,1,1
20170606.1727702684-1300-1_5,1,1
20170606.1727702684-1300-1_6,1,1
20170606.1727702684-1300-1_7,1,1
20170606.1727702684-1300-1_8,1,1
20170606.1727702684-1300-1_9,1,1
20170606.1727702684-1305-1_1,1,1
20170606.1727702684-1305-1_10,1,1
20170606.1727702684-1305-1_11,1,1
20170606.1727702684-1305-1_12,1,1
20170606.1727702684-1305-1_13,1,1
20170606.1727702684-1305-1_14,1,1
20170606.1727702684-1305-1_15,1,1
20170606.1727702684-1305-1_16,1,1
20170606.1727702684-1305-1_2,1,1
20170606.1727702684-1305-1_3,1,1
20170606.1727702684-1305-1_4,1,1
20170606.1727702684-1305-1_5,1,1
20170606.1727702684-1305-1_6,1,1
20170606.1727702684-1305-1_7,1,1
20170606.1727702684-1305-1_8,1,1
20170606.1727702684-1305-1_9,1,1
20170606.1727702684-1306-1_1,1,1
20170606.1727702684-1306-1_10,1,1
20170606.1727702684-1306-1_11,1,1
20170606.1727702684-1306-1_12,1,1
20170606.1727702684-1306-1_13,1,1
20170606.1727702684-1306-1_14,1,1
20170606.1727702684-1306-1_15,1,1
20170606.1727702684-1306-1_16,1,1
20170606.1727702684-1306-1_2,1,1
20170606.1727702684-1306-1_3,1,1
20170606.1727702684-1306-1_4,1,1
20170606.1727702684-1306-1_5,1,1
20170606.1727702684-1306-1_6,1,1
20170606.1727702684-1306-1_7,1,1
20170606.1727702684-1306-1_8,1,1
20170606.1727702684-1306-1_9,1,1
20170607.1727702684-1333-1_1,1,1
20170607.1727702684-1333-1_10,1,1
20170607.1727702684-1333-1_11,1,1
20170607.1727702684-1333-1_12,1,1
20170607.1727702684-1333-1_13,1,1
20170607.1727702684-1333-1_14,1,1
20170607.1727702684-1333-1_15,1,1
20170607.1727702684-1333-1_16,1,1
20170607.1727702684-1333-1_2,1,1
20170607.1727702684-1333-1_3,1,1
20170607.1727702684-1333-1_4,1,1
20170607.1727702684-1333-1_5,1,1
20170607.1727702684-1333-1_6,1,1
20170607.1727702684-1333-1_7,1,1
20170607.1727702684-1333-1_8,1,1
20170607.1727702684-1333-1_9,1,1
20170609.1727702684-1347-1_1,1,1
20170609.1727702684-1347-1_10,1,1
20170609.1727702684-1347-1_11,1,1
20170609.1727702684-1347-1_12,1,1
20170609.1727702684-1347-1_13,1,1
20170609.1727702684-1347-1_14,1,1
20170609.1727702684-1347-1_15,1,1
20170609.1727702684-1347-1_16,1,1
20170609.1727702684-1347-1_2,1,1
20170609.1727702684-1347-1_3,1,1
20170609.1727702684-1347-1_4,1,1
20170609.1727702684-1347-1_5,1,1
20170609.1727702684-1347-1_6,1,1
20170609.1727702684-1347-1_7,1,1
20170609.1727702684-1347-1_8,1,1
20170609.1727702684-1347-1_9,1,1
20170609.1727702684-1349-1_1,1,1
20170609.1727702684-1349-1_10,1,1
20170609.1727702684-1349-1_11,1,1
20170609.1727702684-1349-1_12,1,1
20170609.1727702684-1349-1_13,1,1
20170609.1727702684-1349-1_14,1,1
20170609.1727702684-1349-1_15,1,1
20170609.1727702684-1349-1_16,1,1
20170609.1727702684-1349-1_2,1,1
20170609.1727702684-1349-1_3,1,1
20170609.1727702684-1349-1_4,1,1
20170609.1727702684-1349-1_5,1,1
20170609.1727702684-1349-1_6,1,1
20170609.1727702684-1349-1_7,1,1
20170609.1727702684-1349-1_8,1,1
20170609.1727702684-1349-1_9,1,1
20170609.1727702684-1355-1_1,1,1
20170609.1727702684-1355-1_10,1,1
20170609.1727702684-1355-1_11,1,1
20170609.1727702684-1355-1_12,1,1
20170609.1727702684-1355-1_13,1,1
20170609.1727702684-1355-1_14,1,1
20170609.1727702684-1355-1_15,1,1
